age,sex,Target_y
32, Female, <=50K
53, Male, >50K
58, Male, <=50K
37, Male, >50K
24, Male, <=50K
53, Male, >50K
23, Female, <=50K
30, Female, <=50K
38, Female, <=50K
28, Male, <=50K
19, Female, <=50K
45, Male, <=50K
26, Male, <=50K
33, Female, <=50K
54, Female, >50K
23, Female, <=50K
43, Male, >50K
56, Male, <=50K
25, Male, <=50K
17, Female, <=50K
37, Female, <=50K
60, Male, <=50K
59, Female, <=50K
59, Male, >50K
46, Male, >50K
24, Male, <=50K
29, Female, >50K
33, Female, <=50K
23, Male, <=50K
60, Female, <=50K
18, Male, <=50K
52, Female, <=50K
31, Male, <=50K
30, Female, >50K
33, Male, <=50K
20, Female, <=50K
33, Female, <=50K
25, Female, <=50K
63, Female, <=50K
63, Male, <=50K
43, Female, <=50K
58, Female, <=50K
35, Female, >50K
42, Male, >50K
20, Male, <=50K
35, Male, <=50K
62, Male, <=50K
41, Female, <=50K
43, Female, <=50K
19, Male, <=50K
46, Female, <=50K
47, Male, >50K
36, Male, >50K
45, Female, <=50K
48, Male, <=50K
29, Female, <=50K
48, Male, >50K
36, Female, <=50K
58, Male, <=50K
43, Female, <=50K
59, Male, <=50K
42, Male, <=50K
33, Male, >50K
23, Male, <=50K
21, Male, <=50K
32, Male, <=50K
31, Male, >50K
66, Female, <=50K
23, Male, <=50K
52, Female, >50K
17, Male, <=50K
35, Male, >50K
39, Male, >50K
24, Female, <=50K
25, Male, <=50K
29, Male, <=50K
56, Male, >50K
34, Male, <=50K
64, Male, >50K
27, Male, <=50K
47, Male, <=50K
36, Male, >50K
44, Male, <=50K
31, Female, <=50K
23, Female, <=50K
45, Male, >50K
31, Male, <=50K
45, Male, <=50K
33, Male, >50K
33, Female, <=50K
30, Female, >50K
25, Male, <=50K
70, Male, >50K
22, Male, <=50K
30, Male, >50K
46, Male, >50K
43, Male, <=50K
37, Female, <=50K
59, Male, >50K
51, Male, <=50K
36, Male, <=50K
73, Male, <=50K
32, Female, <=50K
34, Male, <=50K
51, Male, <=50K
20, Female, <=50K
19, Male, <=50K
45, Male, >50K
55, Male, <=50K
60, Male, <=50K
19, Male, <=50K
35, Male, <=50K
20, Female, <=50K
34, Male, <=50K
26, Male, >50K
73, Female, <=50K
27, Male, <=50K
37, Male, <=50K
73, Male, <=50K
46, Male, >50K
36, Male, <=50K
54, Male, >50K
49, Male, <=50K
68, Male, <=50K
34, Male, <=50K
30, Male, <=50K
28, Male, <=50K
28, Male, >50K
25, Male, <=50K
40, Male, >50K
32, Female, <=50K
18, Female, <=50K
36, Male, <=50K
26, Female, <=50K
24, Female, <=50K
90, Male, <=50K
27, Male, <=50K
58, Female, <=50K
37, Male, >50K
28, Male, <=50K
36, Female, <=50K
45, Male, >50K
23, Male, <=50K
69, Male, <=50K
58, Male, <=50K
22, Male, <=50K
58, Male, <=50K
53, Male, >50K
44, Male, <=50K
31, Male, <=50K
48, Male, <=50K
46, Female, <=50K
43, Female, <=50K
43, Female, <=50K
17, Male, <=50K
20, Male, <=50K
22, Female, <=50K
35, Female, <=50K
29, Male, <=50K
25, Male, <=50K
54, Male, <=50K
23, Female, <=50K
26, Male, <=50K
25, Male, <=50K
46, Female, <=50K
41, Female, <=50K
31, Male, <=50K
48, Male, >50K
52, Female, <=50K
22, Male, <=50K
18, Male, <=50K
46, Female, <=50K
34, Male, <=50K
30, Male, <=50K
31, Male, <=50K
21, Male, <=50K
41, Male, <=50K
45, Male, >50K
30, Male, <=50K
44, Female, <=50K
54, Female, >50K
36, Male, >50K
50, Male, >50K
26, Female, <=50K
47, Male, <=50K
36, Male, <=50K
32, Male, <=50K
21, Female, <=50K
30, Male, <=50K
55, Male, <=50K
43, Male, <=50K
37, Male, <=50K
28, Female, <=50K
39, Male, <=50K
35, Male, <=50K
26, Male, <=50K
68, Male, <=50K
46, Male, >50K
21, Male, <=50K
23, Female, <=50K
17, Female, <=50K
23, Female, <=50K
34, Male, <=50K
33, Female, <=50K
31, Male, <=50K
56, Male, <=50K
21, Female, <=50K
41, Male, >50K
26, Female, <=50K
41, Female, <=50K
46, Male, >50K
47, Female, <=50K
43, Male, >50K
35, Male, <=50K
44, Male, <=50K
58, Male, >50K
25, Female, <=50K
44, Male, <=50K
57, Male, <=50K
24, Male, <=50K
38, Female, <=50K
33, Male, <=50K
25, Female, <=50K
33, Male, >50K
50, Male, >50K
35, Male, >50K
36, Male, >50K
27, Female, <=50K
22, Male, <=50K
30, Male, <=50K
90, Female, <=50K
39, Male, <=50K
34, Male, <=50K
39, Male, >50K
19, Female, <=50K
19, Male, <=50K
29, Male, <=50K
38, Male, <=50K
34, Male, <=50K
35, Female, <=50K
29, Male, <=50K
22, Male, <=50K
73, Male, >50K
35, Male, <=50K
41, Male, <=50K
27, Female, <=50K
25, Male, <=50K
47, Male, >50K
36, Female, >50K
25, Female, <=50K
37, Male, <=50K
26, Male, <=50K
53, Male, <=50K
36, Female, <=50K
30, Female, >50K
53, Female, <=50K
37, Male, <=50K
41, Male, <=50K
53, Male, <=50K
23, Male, <=50K
28, Male, <=50K
53, Male, <=50K
32, Male, >50K
33, Female, <=50K
52, Male, >50K
31, Male, <=50K
27, Female, >50K
44, Female, <=50K
37, Male, <=50K
39, Male, <=50K
18, Female, <=50K
42, Male, >50K
49, Male, >50K
35, Female, <=50K
43, Male, <=50K
43, Male, >50K
31, Male, >50K
27, Male, <=50K
46, Female, <=50K
54, Male, <=50K
53, Male, >50K
59, Male, >50K
36, Male, <=50K
32, Male, >50K
53, Male, >50K
26, Female, <=50K
35, Female, >50K
48, Female, <=50K
30, Male, <=50K
38, Male, >50K
58, Female, >50K
30, Female, <=50K
68, Male, <=50K
26, Female, <=50K
26, Female, <=50K
48, Male, <=50K
55, Female, <=50K
41, Male, >50K
52, Male, <=50K
31, Male, >50K
54, Male, >50K
31, Female, <=50K
31, Male, >50K
47, Male, >50K
40, Male, >50K
46, Female, <=50K
45, Female, <=50K
34, Female, <=50K
35, Female, >50K
43, Female, <=50K
59, Male, >50K
63, Male, >50K
32, Female, <=50K
43, Male, >50K
27, Female, <=50K
21, Male, <=50K
44, Male, >50K
40, Male, <=50K
65, Female, <=50K
50, Male, >50K
51, Male, >50K
44, Female, <=50K
20, Female, <=50K
29, Male, <=50K
50, Male, >50K
50, Male, >50K
43, Male, <=50K
23, Female, <=50K
41, Male, <=50K
58, Male, <=50K
50, Male, <=50K
37, Male, >50K
21, Male, <=50K
33, Female, <=50K
52, Female, <=50K
47, Male, <=50K
45, Male, >50K
34, Male, >50K
31, Female, <=50K
45, Female, <=50K
45, Male, <=50K
34, Male, <=50K
37, Female, <=50K
20, Female, <=50K
32, Male, >50K
39, Male, <=50K
18, Female, <=50K
62, Male, <=50K
24, Female, <=50K
37, Male, <=50K
46, Female, <=50K
44, Male, <=50K
53, Male, >50K
25, Male, <=50K
24, Male, <=50K
61, Male, <=50K
45, Female, <=50K
33, Male, <=50K
48, Male, >50K
26, Male, <=50K
68, Male, >50K
24, Female, <=50K
31, Female, <=50K
55, Female, <=50K
46, Female, <=50K
58, Male, <=50K
56, Female, <=50K
45, Male, >50K
24, Male, >50K
35, Male, <=50K
51, Male, >50K
47, Male, >50K
17, Female, <=50K
21, Female, <=50K
45, Female, >50K
42, Male, >50K
56, Female, <=50K
39, Male, <=50K
20, Male, <=50K
65, Male, <=50K
44, Male, <=50K
33, Male, <=50K
25, Male, >50K
38, Male, <=50K
31, Male, <=50K
33, Male, <=50K
49, Female, <=50K
28, Female, <=50K
29, Male, <=50K
23, Male, <=50K
37, Male, >50K
52, Male, >50K
27, Male, <=50K
47, Male, >50K
21, Female, <=50K
61, Male, >50K
32, Male, >50K
21, Male, <=50K
63, Male, >50K
34, Male, <=50K
21, Male, <=50K
44, Female, <=50K
36, Male, >50K
44, Male, <=50K
42, Female, <=50K
31, Male, <=50K
30, Male, <=50K
23, Female, <=50K
81, Female, <=50K
21, Female, <=50K
28, Male, <=50K
34, Female, <=50K
47, Female, <=50K
36, Male, <=50K
27, Male, <=50K
42, Female, <=50K
43, Male, <=50K
58, Female, <=50K
37, Male, >50K
41, Female, <=50K
31, Female, <=50K
31, Male, <=50K
53, Male, <=50K
19, Male, <=50K
56, Male, >50K
55, Female, >50K
51, Female, <=50K
62, Female, <=50K
43, Male, >50K
28, Male, <=50K
46, Male, >50K
62, Male, <=50K
57, Female, <=50K
60, Female, >50K
23, Male, <=50K
47, Male, >50K
21, Female, <=50K
51, Male, <=50K
61, Male, <=50K
52, Female, >50K
76, Male, <=50K
24, Male, <=50K
31, Male, <=50K
43, Male, >50K
58, Female, <=50K
19, Female, <=50K
44, Female, <=50K
41, Male, <=50K
40, Male, <=50K
42, Male, <=50K
35, Male, <=50K
19, Female, <=50K
60, Female, <=50K
23, Male, <=50K
18, Female, <=50K
40, Male, >50K
19, Female, <=50K
51, Female, <=50K
41, Male, <=50K
18, Female, <=50K
41, Female, <=50K
27, Female, <=50K
71, Female, <=50K
73, Female, <=50K
45, Male, <=50K
25, Male, >50K
50, Female, <=50K
49, Male, >50K
44, Male, >50K
42, Female, <=50K
20, Female, <=50K
66, Female, <=50K
19, Male, <=50K
60, Male, <=50K
46, Male, <=50K
42, Male, <=50K
58, Male, >50K
47, Female, <=50K
58, Male, <=50K
19, Male, <=50K
28, Male, <=50K
37, Female, <=50K
30, Male, <=50K
36, Male, <=50K
45, Male, >50K
59, Female, <=50K
45, Male, <=50K
53, Female, >50K
37, Female, <=50K
26, Female, <=50K
53, Male, <=50K
44, Female, <=50K
27, Male, <=50K
22, Male, <=50K
41, Male, <=50K
53, Male, <=50K
58, Male, <=50K
32, Male, >50K
47, Female, >50K
27, Male, <=50K
25, Male, <=50K
40, Female, <=50K
36, Male, <=50K
23, Male, <=50K
44, Male, <=50K
19, Male, <=50K
42, Male, <=50K
60, Male, <=50K
41, Male, >50K
45, Female, <=50K
52, Female, <=50K
28, Male, <=50K
83, Male, <=50K
17, Male, <=50K
27, Male, <=50K
35, Male, <=50K
40, Female, <=50K
23, Female, <=50K
51, Male, <=50K
28, Female, <=50K
19, Male, <=50K
30, Female, <=50K
66, Male, >50K
27, Male, <=50K
35, Male, <=50K
17, Male, <=50K
27, Male, <=50K
27, Male, <=50K
44, Female, >50K
64, Male, <=50K
62, Female, <=50K
26, Male, <=50K
40, Male, <=50K
40, Male, >50K
35, Female, <=50K
52, Female, <=50K
46, Female, >50K
30, Male, <=50K
52, Male, >50K
28, Male, <=50K
17, Female, <=50K
46, Female, <=50K
45, Male, >50K
21, Female, <=50K
18, Female, <=50K
17, Male, <=50K
90, Female, <=50K
23, Male, <=50K
41, Male, >50K
19, Male, <=50K
69, Male, <=50K
23, Female, <=50K
28, Male, <=50K
37, Male, >50K
57, Male, <=50K
30, Male, <=50K
48, Female, <=50K
73, Female, <=50K
33, Male, >50K
36, Male, <=50K
28, Male, <=50K
57, Female, <=50K
31, Female, <=50K
40, Female, <=50K
32, Female, <=50K
27, Female, <=50K
17, Female, <=50K
29, Female, <=50K
18, Female, <=50K
20, Male, <=50K
18, Female, <=50K
56, Female, <=50K
40, Female, <=50K
46, Male, <=50K
53, Female, <=50K
50, Male, >50K
23, Male, <=50K
40, Male, >50K
54, Male, >50K
45, Female, <=50K
53, Male, >50K
50, Female, >50K
40, Male, <=50K
36, Male, <=50K
25, Male, <=50K
29, Male, <=50K
29, Male, <=50K
22, Female, <=50K
60, Male, >50K
37, Male, <=50K
53, Female, <=50K
23, Female, <=50K
18, Female, <=50K
36, Female, <=50K
67, Male, >50K
31, Male, <=50K
26, Male, >50K
18, Female, <=50K
45, Female, <=50K
64, Male, <=50K
26, Female, <=50K
53, Female, <=50K
32, Male, <=50K
49, Female, >50K
59, Male, >50K
44, Male, >50K
61, Male, <=50K
46, Female, <=50K
32, Male, <=50K
29, Female, <=50K
48, Male, <=50K
32, Female, <=50K
21, Female, <=50K
50, Male, >50K
44, Male, >50K
51, Female, <=50K
42, Male, >50K
27, Female, <=50K
70, Male, <=50K
33, Female, <=50K
65, Male, >50K
32, Male, <=50K
30, Female, <=50K
43, Male, <=50K
31, Male, <=50K
64, Female, <=50K
37, Male, <=50K
49, Male, <=50K
29, Male, <=50K
35, Male, <=50K
37, Male, <=50K
42, Male, >50K
23, Male, <=50K
35, Female, <=50K
29, Male, >50K
23, Female, <=50K
45, Male, <=50K
38, Male, <=50K
23, Female, <=50K
45, Male, >50K
68, Female, <=50K
60, Male, >50K
41, Male, <=50K
48, Male, <=50K
33, Male, <=50K
48, Male, <=50K
23, Female, <=50K
26, Male, <=50K
55, Male, >50K
35, Male, <=50K
52, Male, >50K
46, Female, <=50K
18, Female, <=50K
62, Male, <=50K
22, Female, <=50K
40, Female, >50K
26, Male, <=50K
35, Female, <=50K
25, Female, <=50K
41, Male, >50K
37, Male, <=50K
38, Male, <=50K
67, Male, >50K
60, Female, >50K
39, Male, >50K
32, Male, >50K
26, Female, <=50K
39, Female, <=50K
28, Female, <=50K
29, Female, <=50K
43, Male, <=50K
23, Male, <=50K
32, Male, >50K
33, Female, >50K
45, Female, <=50K
48, Male, <=50K
43, Male, >50K
50, Male, >50K
63, Male, >50K
55, Male, >50K
22, Female, <=50K
32, Male, <=50K
27, Male, <=50K
22, Female, <=50K
44, Male, <=50K
34, Female, <=50K
28, Female, <=50K
40, Female, >50K
45, Male, <=50K
17, Male, <=50K
53, Male, <=50K
58, Male, >50K
55, Male, <=50K
44, Male, <=50K
40, Male, <=50K
58, Male, <=50K
38, Male, >50K
62, Female, <=50K
31, Male, <=50K
30, Male, <=50K
58, Male, <=50K
30, Male, >50K
28, Female, <=50K
46, Female, <=50K
34, Female, <=50K
39, Male, <=50K
61, Female, <=50K
30, Female, <=50K
31, Female, <=50K
21, Male, <=50K
50, Male, <=50K
47, Male, <=50K
20, Male, <=50K
23, Female, <=50K
20, Male, <=50K
33, Male, >50K
30, Female, <=50K
43, Female, <=50K
23, Male, <=50K
25, Male, <=50K
50, Female, >50K
44, Female, >50K
26, Female, <=50K
35, Female, >50K
48, Male, <=50K
26, Male, <=50K
41, Female, <=50K
25, Male, <=50K
33, Female, <=50K
24, Female, <=50K
31, Female, <=50K
24, Female, <=50K
38, Male, <=50K
19, Male, <=50K
19, Male, <=50K
24, Male, <=50K
67, Male, >50K
49, Male, <=50K
35, Male, >50K
44, Male, >50K
22, Male, <=50K
21, Male, <=50K
50, Male, <=50K
44, Male, <=50K
36, Male, <=50K
52, Male, >50K
35, Male, <=50K
48, Male, <=50K
23, Male, <=50K
37, Male, <=50K
44, Male, >50K
44, Male, >50K
36, Male, <=50K
26, Male, <=50K
31, Male, >50K
29, Male, <=50K
53, Female, <=50K
52, Male, <=50K
55, Male, >50K
31, Male, <=50K
55, Male, <=50K
48, Male, >50K
20, Female, <=50K
50, Female, >50K
45, Male, <=50K
38, Female, <=50K
43, Female, >50K
22, Male, <=50K
63, Female, <=50K
36, Male, <=50K
56, Male, >50K
43, Male, <=50K
41, Male, >50K
41, Female, <=50K
36, Male, <=50K
59, Male, >50K
46, Male, >50K
23, Female, <=50K
46, Male, <=50K
53, Male, >50K
46, Female, <=50K
47, Male, >50K
29, Male, >50K
32, Female, <=50K
90, Male, <=50K
23, Male, <=50K
23, Female, <=50K
81, Female, <=50K
17, Female, <=50K
56, Male, >50K
58, Male, <=50K
45, Male, >50K
25, Male, <=50K
32, Female, >50K
25, Male, <=50K
29, Male, >50K
23, Male, <=50K
41, Male, >50K
48, Male, >50K
29, Male, <=50K
55, Male, <=50K
45, Female, <=50K
22, Male, <=50K
80, Female, <=50K
30, Male, <=50K
20, Female, <=50K
29, Male, <=50K
56, Male, <=50K
63, Male, <=50K
20, Male, <=50K
38, Female, <=50K
31, Male, <=50K
21, Male, <=50K
47, Male, >50K
31, Female, <=50K
28, Female, <=50K
38, Male, <=50K
30, Male, <=50K
39, Male, >50K
26, Female, <=50K
47, Female, <=50K
27, Male, <=50K
43, Male, <=50K
32, Male, <=50K
21, Female, <=50K
32, Male, <=50K
37, Male, <=50K
37, Male, >50K
24, Male, <=50K
23, Male, <=50K
40, Male, >50K
38, Male, >50K
71, Male, <=50K
51, Female, <=50K
52, Male, <=50K
30, Female, <=50K
34, Male, >50K
38, Female, <=50K
43, Female, >50K
43, Male, <=50K
36, Male, >50K
24, Female, <=50K
55, Female, <=50K
51, Male, >50K
43, Female, <=50K
28, Male, <=50K
54, Male, <=50K
47, Male, >50K
47, Male, >50K
47, Male, >50K
38, Female, <=50K
60, Male, <=50K
19, Female, <=50K
22, Female, <=50K
55, Male, >50K
44, Female, <=50K
44, Female, >50K
28, Male, <=50K
30, Female, <=50K
39, Female, <=50K
43, Female, <=50K
24, Female, <=50K
27, Male, <=50K
41, Male, >50K
28, Male, <=50K
61, Male, <=50K
27, Female, <=50K
49, Female, <=50K
20, Male, <=50K
41, Female, <=50K
28, Male, <=50K
36, Male, <=50K
44, Male, <=50K
51, Female, >50K
40, Female, <=50K
19, Female, <=50K
54, Female, <=50K
55, Male, <=50K
57, Female, <=50K
51, Female, <=50K
44, Male, <=50K
35, Male, <=50K
40, Male, <=50K
46, Female, <=50K
25, Male, >50K
33, Male, <=50K
22, Female, <=50K
18, Male, <=50K
43, Female, <=50K
46, Male, <=50K
63, Male, >50K
59, Male, >50K
40, Female, <=50K
23, Male, <=50K
36, Male, <=50K
48, Female, <=50K
43, Female, >50K
18, Female, <=50K
17, Male, <=50K
53, Male, >50K
36, Female, <=50K
20, Male, <=50K
22, Female, <=50K
34, Male, >50K
39, Male, <=50K
57, Female, <=50K
30, Female, <=50K
37, Male, >50K
51, Male, >50K
38, Male, <=50K
34, Female, <=50K
28, Male, <=50K
25, Female, <=50K
50, Male, >50K
50, Male, >50K
43, Male, <=50K
27, Male, <=50K
32, Male, <=50K
44, Male, <=50K
19, Female, <=50K
53, Male, >50K
21, Male, <=50K
26, Male, <=50K
68, Male, <=50K
31, Male, <=50K
32, Male, >50K
33, Male, <=50K
24, Male, <=50K
30, Male, <=50K
49, Male, >50K
18, Male, <=50K
30, Female, <=50K
51, Male, <=50K
52, Male, <=50K
52, Male, <=50K
23, Male, <=50K
23, Male, <=50K
36, Male, <=50K
19, Male, <=50K
53, Male, <=50K
17, Male, <=50K
69, Female, <=50K
46, Female, <=50K
33, Male, <=50K
40, Male, <=50K
29, Male, <=50K
41, Female, <=50K
22, Male, <=50K
28, Male, <=50K
31, Male, <=50K
35, Female, <=50K
38, Male, <=50K
17, Female, <=50K
39, Male, <=50K
27, Male, <=50K
50, Female, <=50K
56, Male, <=50K
80, Male, <=50K
38, Female, <=50K
52, Male, >50K
45, Female, <=50K
41, Male, >50K
30, Female, <=50K
24, Male, <=50K
43, Female, <=50K
44, Male, >50K
54, Male, <=50K
23, Female, >50K
33, Male, >50K
18, Male, <=50K
41, Male, <=50K
66, Male, >50K
60, Female, <=50K
61, Female, <=50K
35, Male, <=50K
19, Female, <=50K
52, Female, <=50K
38, Male, >50K
39, Male, <=50K
33, Male, <=50K
52, Female, <=50K
37, Male, <=50K
38, Male, >50K
27, Female, <=50K
38, Female, <=50K
38, Male, >50K
49, Male, >50K
22, Male, <=50K
40, Male, >50K
20, Male, <=50K
34, Female, <=50K
24, Male, <=50K
58, Male, >50K
24, Female, <=50K
43, Male, <=50K
38, Female, <=50K
42, Male, <=50K
27, Male, <=50K
18, Female, <=50K
37, Male, >50K
48, Male, <=50K
40, Female, <=50K
57, Female, <=50K
36, Male, >50K
41, Male, <=50K
90, Male, <=50K
66, Female, <=50K
34, Female, <=50K
35, Male, <=50K
32, Male, <=50K
33, Male, >50K
32, Male, <=50K
31, Male, <=50K
32, Male, <=50K
40, Male, <=50K
27, Male, <=50K
34, Male, <=50K
35, Female, >50K
29, Male, <=50K
41, Female, <=50K
33, Female, >50K
52, Male, >50K
20, Male, <=50K
18, Male, <=50K
49, Female, <=50K
58, Male, <=50K
23, Female, <=50K
59, Male, >50K
49, Male, <=50K
23, Female, <=50K
20, Male, <=50K
36, Male, >50K
64, Female, <=50K
34, Female, <=50K
63, Female, <=50K
51, Female, <=50K
40, Female, <=50K
55, Male, <=50K
30, Male, <=50K
32, Male, >50K
55, Male, <=50K
47, Male, >50K
50, Male, <=50K
42, Male, >50K
32, Male, >50K
60, Male, <=50K
53, Male, <=50K
58, Male, >50K
45, Male, <=50K
31, Male, <=50K
32, Male, <=50K
37, Female, <=50K
28, Female, <=50K
47, Male, >50K
34, Male, >50K
42, Male, <=50K
48, Female, >50K
32, Female, <=50K
35, Female, >50K
46, Female, >50K
38, Male, <=50K
35, Male, >50K
45, Male, <=50K
31, Male, <=50K
52, Male, >50K
20, Male, <=50K
24, Male, <=50K
29, Male, >50K
23, Female, <=50K
34, Male, <=50K
54, Female, <=50K
21, Female, <=50K
23, Female, <=50K
79, Female, <=50K
55, Male, >50K
60, Female, <=50K
37, Male, <=50K
47, Male, <=50K
20, Male, <=50K
34, Female, <=50K
43, Female, <=50K
24, Male, <=50K
23, Male, <=50K
29, Male, <=50K
58, Female, <=50K
40, Female, <=50K
43, Female, <=50K
25, Male, <=50K
23, Male, <=50K
34, Male, <=50K
26, Female, <=50K
60, Female, >50K
39, Male, >50K
21, Male, <=50K
45, Male, <=50K
33, Male, <=50K
26, Male, >50K
39, Female, <=50K
29, Female, >50K
52, Male, <=50K
34, Male, >50K
24, Male, <=50K
77, Male, >50K
34, Male, <=50K
53, Male, <=50K
31, Male, <=50K
58, Female, <=50K
50, Male, >50K
32, Male, <=50K
57, Female, <=50K
32, Female, <=50K
77, Female, <=50K
37, Male, <=50K
51, Female, <=50K
33, Male, <=50K
53, Female, <=50K
32, Male, <=50K
30, Male, <=50K
19, Female, <=50K
33, Female, <=50K
31, Female, <=50K
28, Female, <=50K
19, Female, <=50K
27, Male, <=50K
24, Female, <=50K
46, Male, <=50K
31, Female, <=50K
60, Male, >50K
21, Female, <=50K
31, Male, <=50K
26, Male, >50K
46, Female, <=50K
25, Male, >50K
23, Male, <=50K
53, Male, >50K
29, Female, <=50K
45, Male, >50K
70, Male, <=50K
55, Male, >50K
40, Male, >50K
17, Male, <=50K
18, Male, <=50K
34, Male, >50K
41, Female, <=50K
28, Male, <=50K
23, Male, <=50K
32, Male, <=50K
56, Male, <=50K
36, Male, <=50K
26, Male, <=50K
62, Female, <=50K
35, Female, <=50K
25, Female, <=50K
28, Male, <=50K
21, Female, <=50K
31, Male, <=50K
58, Male, >50K
55, Male, >50K
54, Male, <=50K
33, Male, <=50K
28, Male, >50K
40, Male, <=50K
33, Male, >50K
55, Male, <=50K
53, Male, <=50K
23, Male, <=50K
66, Male, <=50K
34, Male, >50K
39, Male, <=50K
21, Female, <=50K
26, Female, <=50K
59, Male, <=50K
61, Male, <=50K
30, Male, >50K
22, Male, <=50K
47, Female, <=50K
50, Male, <=50K
67, Female, <=50K
59, Male, <=50K
35, Female, >50K
56, Female, >50K
34, Female, <=50K
63, Female, <=50K
41, Male, >50K
26, Female, <=50K
47, Male, <=50K
29, Male, <=50K
30, Male, <=50K
19, Male, <=50K
27, Female, <=50K
59, Male, <=50K
19, Male, <=50K
37, Male, <=50K
44, Female, <=50K
34, Male, <=50K
30, Female, <=50K
56, Female, <=50K
19, Female, <=50K
37, Male, <=50K
45, Male, >50K
21, Female, <=50K
34, Male, <=50K
27, Male, <=50K
44, Female, <=50K
33, Male, <=50K
32, Female, <=50K
37, Male, <=50K
26, Female, <=50K
49, Male, <=50K
20, Female, <=50K
37, Male, <=50K
44, Male, <=50K
30, Male, <=50K
55, Male, <=50K
36, Male, <=50K
29, Male, <=50K
45, Male, <=50K
38, Male, >50K
42, Male, <=50K
27, Female, <=50K
20, Male, <=50K
43, Male, <=50K
21, Male, <=50K
33, Female, <=50K
36, Male, >50K
54, Male, >50K
30, Male, >50K
63, Male, <=50K
36, Male, >50K
25, Male, <=50K
55, Male, <=50K
44, Male, >50K
41, Female, <=50K
47, Male, >50K
41, Male, >50K
18, Female, <=50K
23, Female, <=50K
57, Male, <=50K
56, Male, <=50K
25, Female, <=50K
35, Female, <=50K
61, Male, <=50K
36, Female, <=50K
18, Female, <=50K
21, Female, <=50K
32, Male, <=50K
52, Male, >50K
48, Male, <=50K
40, Female, <=50K
35, Male, >50K
42, Female, <=50K
34, Male, <=50K
27, Male, <=50K
47, Male, <=50K
65, Male, <=50K
61, Female, <=50K
18, Male, <=50K
48, Male, >50K
26, Male, <=50K
30, Male, <=50K
68, Male, >50K
23, Male, <=50K
65, Male, <=50K
32, Male, <=50K
44, Male, >50K
48, Female, >50K
24, Male, <=50K
58, Male, <=50K
54, Male, >50K
35, Male, >50K
35, Female, <=50K
24, Male, <=50K
50, Male, >50K
38, Male, <=50K
57, Male, >50K
38, Male, <=50K
49, Male, <=50K
25, Female, <=50K
56, Male, <=50K
32, Female, <=50K
22, Male, <=50K
33, Male, <=50K
42, Female, <=50K
62, Male, <=50K
26, Male, <=50K
46, Male, >50K
33, Female, >50K
65, Male, <=50K
46, Male, >50K
43, Female, <=50K
43, Male, >50K
35, Male, <=50K
48, Female, <=50K
55, Male, >50K
45, Male, <=50K
56, Male, <=50K
59, Male, <=50K
56, Male, <=50K
21, Male, <=50K
26, Male, <=50K
38, Female, <=50K
27, Female, <=50K
48, Male, >50K
37, Male, >50K
63, Male, <=50K
27, Male, >50K
20, Male, <=50K
26, Male, >50K
51, Male, <=50K
28, Male, >50K
35, Male, >50K
65, Male, <=50K
54, Male, <=50K
39, Male, <=50K
24, Female, <=50K
36, Female, <=50K
52, Male, >50K
64, Male, <=50K
43, Male, <=50K
44, Male, <=50K
47, Female, <=50K
32, Male, <=50K
20, Female, <=50K
33, Female, <=50K
49, Male, <=50K
31, Female, <=50K
62, Female, <=50K
44, Male, <=50K
28, Male, <=50K
68, Female, >50K
40, Female, <=50K
46, Male, <=50K
22, Female, <=50K
37, Male, <=50K
62, Male, <=50K
37, Male, >50K
35, Male, >50K
44, Male, <=50K
41, Male, >50K
36, Male, <=50K
26, Female, <=50K
48, Male, >50K
21, Female, <=50K
39, Male, >50K
38, Female, >50K
44, Male, >50K
25, Male, <=50K
32, Female, <=50K
47, Female, >50K
26, Male, <=50K
31, Female, >50K
23, Male, <=50K
41, Female, >50K
55, Male, <=50K
23, Female, <=50K
45, Male, >50K
42, Male, <=50K
29, Male, <=50K
48, Male, <=50K
36, Male, <=50K
52, Male, >50K
46, Male, <=50K
34, Male, <=50K
18, Female, <=50K
18, Female, <=50K
42, Male, <=50K
36, Male, >50K
52, Male, >50K
44, Male, >50K
53, Male, >50K
36, Male, >50K
27, Male, <=50K
52, Male, <=50K
60, Male, <=50K
41, Male, >50K
64, Male, >50K
54, Male, <=50K
21, Male, <=50K
63, Male, <=50K
37, Female, <=50K
22, Male, <=50K
54, Male, <=50K
54, Female, <=50K
60, Male, <=50K
19, Male, <=50K
25, Female, <=50K
51, Female, <=50K
47, Female, <=50K
44, Male, <=50K
57, Female, <=50K
22, Male, <=50K
36, Female, <=50K
39, Male, <=50K
49, Male, >50K
35, Male, <=50K
40, Female, <=50K
30, Female, <=50K
25, Male, <=50K
25, Male, >50K
37, Male, >50K
53, Male, >50K
34, Female, <=50K
18, Female, <=50K
45, Male, <=50K
19, Female, <=50K
33, Male, <=50K
45, Male, <=50K
43, Male, >50K
40, Male, <=50K
41, Male, >50K
25, Male, <=50K
22, Female, <=50K
52, Male, <=50K
32, Female, <=50K
26, Male, <=50K
24, Male, <=50K
37, Female, <=50K
49, Female, <=50K
43, Male, <=50K
35, Male, <=50K
37, Male, >50K
17, Male, <=50K
48, Male, >50K
26, Male, <=50K
21, Female, <=50K
54, Male, <=50K
40, Female, <=50K
51, Female, <=50K
60, Female, <=50K
22, Male, <=50K
20, Male, <=50K
21, Male, <=50K
21, Male, <=50K
